AGGIORNAMENTO,DATA_TAMPONE,PROVINCIA,POSITIVI,NEGATIVI,DA_RIPETERE
2020-05-31,2020-05-18,TE,4,497,6
2020-05-31,2020-05-19,AQ,1,227,0
2020-05-31,2020-05-19,TE,2,615,8
2020-05-31,2020-05-20,AQ,2,540,1
2020-05-31,2020-05-20,CH,2,217,3
2020-05-31,2020-05-21,CH,8,279,3
2020-05-31,2020-05-21,TE,3,548,3
2020-05-31,2020-05-22,AQ,3,469,5
2020-05-31,2020-05-22,CH,3,301,0
2020-05-31,2020-05-22,TE,2,510,4
2020-05-31,2020-05-23,CH,1,295,1
2020-05-31,2020-05-25,CH,1,227,0
2020-05-31,2020-05-25,PE,3,72,0
2020-05-31,2020-05-25,TE,1,457,0
2020-05-31,2020-05-26,CH,4,400,1
2020-05-31,2020-05-26,TE,1,422,5
2020-05-31,2020-05-27,CH,4,175,2
2020-05-31,2020-05-27,TE,1,278,2
2020-05-31,2020-05-28,CH,9,196,16
2020-05-31,2020-02-29,TE,0,1,0
2020-05-31,2020-03-12,TE,0,1,0
2020-05-31,2020-03-19,CH,0,2,0
2020-05-31,2020-03-19,PE,0,5,0
2020-05-31,2020-03-20,CH,0,1,0
2020-05-31,2020-03-20,PE,0,5,0
2020-05-31,2020-03-21,CH,0,3,0
2020-05-31,2020-03-25,PE,0,3,0
2020-05-31,2020-03-27,CH,0,10,1
2020-05-31,2020-03-28,CH,0,5,1
2020-05-31,2020-03-29,CH,0,1,0
2020-05-31,2020-03-30,CH,0,5,0
2020-05-31,2020-04-01,CH,0,5,0
2020-05-31,2020-04-02,CH,0,49,0
2020-05-31,2020-04-02,PE,0,11,0
2020-05-31,2020-04-03,CH,0,3,0
2020-05-31,2020-04-03,PE,0,14,0
2020-05-31,2020-04-04,CH,0,3,0
2020-05-31,2020-04-04,PE,0,7,1
2020-05-31,2020-04-05,AQ,0,5,1
2020-05-31,2020-04-06,CH,0,6,1
2020-05-31,2020-04-08,PE,0,18,2
2020-05-31,2020-04-09,CH,0,23,1
2020-05-31,2020-04-10,CH,0,13,0
2020-05-31,2020-04-11,CH,0,5,0
2020-05-31,2020-04-12,TE,0,1,0
2020-05-31,2020-04-13,AQ,0,35,1
2020-05-31,2020-04-13,CH,0,6,0
2020-05-31,2020-04-14,PE,0,4,0
2020-05-31,2020-04-21,CH,0,79,0
2020-05-31,2020-04-22,CH,0,22,0
2020-05-31,2020-04-22,PE,0,23,0
2020-05-31,2020-04-24,PE,0,28,0
2020-05-31,2020-04-25,PE,0,4,0
2020-05-31,2020-04-30,AQ,0,110,2
2020-05-31,2020-05-01,PE,0,21,0
2020-05-31,2020-05-01,TE,0,68,0
2020-05-31,2020-05-02,PE,0,24,1
2020-05-31,2020-05-03,AQ,0,25,1
2020-05-31,2020-05-05,PE,0,11,0
2020-05-31,2020-05-07,PE,0,25,0
2020-05-31,2020-05-08,PE,0,42,0
2020-05-31,2020-05-09,AQ,0,413,1
2020-05-31,2020-05-10,AQ,0,48,1
2020-05-31,2020-05-10,PE,0,1,0
2020-05-31,2020-05-10,TE,0,40,0
2020-05-31,2020-05-11,TE,0,560,3
2020-05-31,2020-05-13,PE,0,44,0
2020-05-31,2020-05-15,CH,0,110,2
2020-05-31,2020-05-15,PE,0,41,0
2020-05-31,2020-05-16,AQ,0,186,1
2020-05-31,2020-05-16,PE,0,38,0
2020-05-31,2020-05-17,AQ,0,36,0
