ASL_RICHIEDENTE,DATA_ARRIVO,IN_CORSO,ESAMINATI,TOTALE,AGGIORNAMENTO
PE,2020-05-21,0,31,31,2020-06-04
PE,2020-05-23,0,64,64,2020-06-04
PE,2020-05-25,0,21,21,2020-06-04
PE,2020-05-26,0,21,21,2020-06-04
PE,2020-05-27,0,27,27,2020-06-04
PE,2020-05-29,0,32,32,2020-06-04
PE,2020-05-31,0,27,27,2020-06-04
PE,2020-06-01,0,29,29,2020-06-04
PE,2020-06-02,0,28,28,2020-06-04
PE,2020-06-03,0,26,26,2020-06-04
TE,2020-03-16,0,34,34,2020-06-04
TE,2020-03-17,0,101,101,2020-06-04
TE,2020-03-18,0,121,121,2020-06-04
TE,2020-03-19,0,76,76,2020-06-04
TE,2020-03-20,0,132,132,2020-06-04
TE,2020-03-21,0,76,76,2020-06-04
TE,2020-03-22,0,91,91,2020-06-04
TE,2020-03-23,0,206,206,2020-06-04
TE,2020-03-24,0,78,78,2020-06-04
TE,2020-03-25,0,117,117,2020-06-04
TE,2020-03-26,0,127,127,2020-06-04
TE,2020-03-27,0,358,358,2020-06-04
TE,2020-03-28,0,212,212,2020-06-04
TE,2020-03-29,0,57,57,2020-06-04
TE,2020-03-30,0,273,273,2020-06-04
TE,2020-03-31,0,330,330,2020-06-04
TE,2020-04-01,0,386,386,2020-06-04
TE,2020-04-02,0,548,548,2020-06-04
TE,2020-04-03,0,642,642,2020-06-04
TE,2020-04-04,0,429,429,2020-06-04
TE,2020-04-05,0,245,245,2020-06-04
TE,2020-04-06,0,135,135,2020-06-04
TE,2020-04-07,0,203,203,2020-06-04
TE,2020-04-08,0,378,378,2020-06-04
TE,2020-04-09,0,683,683,2020-06-04
TE,2020-04-10,0,813,813,2020-06-04
TE,2020-04-11,0,493,493,2020-06-04
TE,2020-04-13,0,94,94,2020-06-04
TE,2020-04-14,0,319,319,2020-06-04
TE,2020-04-15,0,477,477,2020-06-04
TE,2020-04-16,0,689,689,2020-06-04
TE,2020-04-17,0,465,465,2020-06-04
TE,2020-04-18,0,473,473,2020-06-04
TE,2020-04-19,0,38,38,2020-06-04
TE,2020-04-20,0,378,378,2020-06-04
TE,2020-04-21,0,454,454,2020-06-04
TE,2020-04-22,0,255,255,2020-06-04
TE,2020-04-23,0,484,484,2020-06-04
TE,2020-04-24,0,450,450,2020-06-04
TE,2020-04-25,0,280,280,2020-06-04
TE,2020-04-26,0,51,51,2020-06-04
TE,2020-04-27,0,364,364,2020-06-04
TE,2020-04-28,0,503,503,2020-06-04
TE,2020-04-29,0,533,533,2020-06-04
TE,2020-04-30,0,476,476,2020-06-04
TE,2020-05-01,0,194,194,2020-06-04
TE,2020-05-02,0,370,370,2020-06-04
TE,2020-05-03,0,100,100,2020-06-04
TE,2020-05-04,0,347,347,2020-06-04
TE,2020-05-05,0,461,461,2020-06-04
TE,2020-05-06,0,455,455,2020-06-04
TE,2020-05-07,0,311,311,2020-06-04
TE,2020-05-08,0,277,277,2020-06-04
TE,2020-05-09,0,272,272,2020-06-04
TE,2020-05-10,0,467,467,2020-06-04
TE,2020-05-11,0,318,318,2020-06-04
TE,2020-05-13,0,285,285,2020-06-04
TE,2020-05-14,0,302,302,2020-06-04
TE,2020-05-15,0,532,532,2020-06-04
TE,2020-05-16,0,650,650,2020-06-04
TE,2020-05-17,0,266,266,2020-06-04
TE,2020-05-18,0,266,266,2020-06-04
TE,2020-05-19,0,971,971,2020-06-04
TE,2020-05-20,0,289,289,2020-06-04
TE,2020-05-21,0,587,587,2020-06-04
TE,2020-05-22,0,579,579,2020-06-04
TE,2020-05-23,0,245,245,2020-06-04
TE,2020-05-24,0,476,476,2020-06-04
TE,2020-05-25,0,299,299,2020-06-04
TE,2020-05-26,0,531,531,2020-06-04
TE,2020-05-28,0,515,515,2020-06-04
TE,2020-06-01,0,259,259,2020-06-04
TE,2020-06-02,0,103,103,2020-06-04
