ASL_RICHIEDENTE,DATA_ARRIVO,IN_CORSO,ESAMINATI,TOTALE,AGGIORNAMENTO
AQ,2020-09-19,0,261,261,2021-02-14
AQ,2020-09-21,0,70,70,2021-02-14
AQ,2020-09-22,0,394,394,2021-02-14
AQ,2020-09-23,0,195,195,2021-02-14
AQ,2020-09-24,0,268,268,2021-02-14
AQ,2020-09-25,0,200,200,2021-02-14
AQ,2020-09-26,0,263,263,2021-02-14
AQ,2020-09-28,0,250,250,2021-02-14
AQ,2020-09-29,0,166,166,2021-02-14
AQ,2020-09-30,0,242,242,2021-02-14
AQ,2020-10-01,0,370,370,2021-02-14
AQ,2020-10-02,0,425,425,2021-02-14
AQ,2020-10-03,0,115,115,2021-02-14
AQ,2020-10-04,0,61,61,2021-02-14
AQ,2020-10-05,0,256,256,2021-02-14
AQ,2020-10-06,0,118,118,2021-02-14
AQ,2020-10-07,0,194,194,2021-02-14
AQ,2020-10-08,0,392,392,2021-02-14
AQ,2020-10-09,0,379,379,2021-02-14
AQ,2020-10-10,0,480,480,2021-02-14
AQ,2020-10-11,0,133,133,2021-02-14
AQ,2020-10-12,0,52,52,2021-02-14
AQ,2020-10-13,0,658,658,2021-02-14
AQ,2020-10-14,0,462,462,2021-02-14
AQ,2020-10-15,0,293,293,2021-02-14
AQ,2020-10-16,0,418,418,2021-02-14
AQ,2020-10-17,0,602,602,2021-02-14
AQ,2020-10-18,0,265,265,2021-02-14
AQ,2020-10-19,0,421,421,2021-02-14
AQ,2020-10-20,0,485,485,2021-02-14
AQ,2020-10-21,0,402,402,2021-02-14
AQ,2020-10-22,0,529,529,2021-02-14
AQ,2020-10-23,0,600,600,2021-02-14
AQ,2020-10-24,0,287,287,2021-02-14
AQ,2020-10-25,0,561,561,2021-02-14
AQ,2020-10-26,0,476,476,2021-02-14
AQ,2020-10-27,0,422,422,2021-02-14
AQ,2020-10-28,0,477,477,2021-02-14
AQ,2020-10-29,0,583,583,2021-02-14
AQ,2020-10-30,0,677,677,2021-02-14
AQ,2020-10-31,0,857,857,2021-02-14
AQ,2020-11-01,0,330,330,2021-02-14
AQ,2020-11-02,0,238,238,2021-02-14
AQ,2020-11-03,0,641,641,2021-02-14
AQ,2020-11-04,0,565,565,2021-02-14
AQ,2020-11-05,0,652,652,2021-02-14
AQ,2020-11-06,0,794,794,2021-02-14
AQ,2020-11-07,0,492,492,2021-02-14
AQ,2020-11-08,0,1307,1307,2021-02-14
AQ,2020-11-09,0,400,400,2021-02-14
AQ,2020-11-10,0,1091,1091,2021-02-14
AQ,2020-11-11,0,760,760,2021-02-14
AQ,2020-11-12,0,1436,1436,2021-02-14
AQ,2020-11-13,0,1039,1039,2021-02-14
AQ,2020-11-14,0,607,607,2021-02-14
AQ,2020-11-15,0,886,886,2021-02-14
AQ,2020-11-16,0,1167,1167,2021-02-14
AQ,2020-11-17,0,1348,1348,2021-02-14
AQ,2020-11-18,0,1653,1653,2021-02-14
AQ,2020-11-19,0,823,823,2021-02-14
AQ,2020-11-20,0,1316,1316,2021-02-14
AQ,2020-11-21,0,1089,1089,2021-02-14
AQ,2020-11-22,0,914,914,2021-02-14
AQ,2020-11-23,0,968,968,2021-02-14
AQ,2020-11-24,0,1182,1182,2021-02-14
AQ,2020-11-25,0,1560,1560,2021-02-14
AQ,2020-11-26,0,998,998,2021-02-14
AQ,2020-11-27,0,936,936,2021-02-14
AQ,2020-11-28,0,1516,1516,2021-02-14
AQ,2020-11-29,0,275,275,2021-02-14
AQ,2020-11-30,0,1111,1111,2021-02-14
AQ,2020-12-01,0,1106,1106,2021-02-14
AQ,2020-12-02,0,1286,1286,2021-02-14
AQ,2020-12-03,0,1129,1129,2021-02-14
AQ,2020-12-04,0,916,916,2021-02-14
AQ,2020-12-05,0,1115,1115,2021-02-14
AQ,2020-12-06,0,248,248,2021-02-14
AQ,2020-12-07,0,557,557,2021-02-14
AQ,2020-12-08,0,988,988,2021-02-14
AQ,2020-12-09,0,766,766,2021-02-14
AQ,2020-12-10,0,1261,1261,2021-02-14
AQ,2020-12-11,0,1230,1230,2021-02-14
AQ,2020-12-12,0,572,572,2021-02-14
AQ,2020-12-13,0,123,123,2021-02-14
AQ,2020-12-14,0,902,902,2021-02-14
AQ,2020-12-15,0,842,842,2021-02-14
AQ,2020-12-16,0,807,807,2021-02-14
AQ,2020-12-17,0,673,673,2021-02-14
AQ,2020-12-18,0,1293,1293,2021-02-14
AQ,2020-12-19,0,410,410,2021-02-14
AQ,2020-12-20,0,137,137,2021-02-14
AQ,2020-12-21,0,613,613,2021-02-14
AQ,2020-12-22,0,1293,1293,2021-02-14
AQ,2020-12-23,0,1169,1169,2021-02-14
AQ,2020-12-24,0,258,258,2021-02-14
AQ,2020-12-26,0,2,2,2021-02-14
AQ,2020-12-27,0,105,105,2021-02-14
AQ,2020-12-28,0,778,778,2021-02-14
AQ,2020-12-29,0,1087,1087,2021-02-14
AQ,2020-12-30,0,783,783,2021-02-14
AQ,2020-12-31,0,49,49,2021-02-14
AQ,2021-01-02,0,417,417,2021-02-14
AQ,2021-01-03,0,46,46,2021-02-14
AQ,2021-01-04,0,508,508,2021-02-14
AQ,2021-01-05,0,889,889,2021-02-14
AQ,2021-01-06,0,16,16,2021-02-14
AQ,2021-01-07,0,646,646,2021-02-14
AQ,2021-01-08,0,741,741,2021-02-14
AQ,2021-01-09,0,343,343,2021-02-14
AQ,2021-01-10,0,195,195,2021-02-14
AQ,2021-01-11,0,939,939,2021-02-14
AQ,2021-01-12,0,608,608,2021-02-14
