data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,codice_istat,denominazione_comune,lat,long,totale_casi
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66092,San Vincenzo Valle Roveto,41.833283563324635,13.528640859360396,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66093,Scanno,41.876683549124074,13.901192591579463,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66094,Scontrone,41.763478177268162,14.054756428127387,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66095,Scoppito,42.360537894068088,13.221342411341903,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66096,Scurcola Marsicana,42.057201277558079,13.352657659820316,1
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66097,Secinaro,42.156602087177696,13.644457335740492,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66098,Sulmona,42.065847002747397,13.934359781218687,1
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66099,Tagliacozzo,42.065669360158765,13.254909715266159,1
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66100,Tione degli Abruzzi,42.191744054922353,13.642001167413694,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66101,Tornimparte,42.285485331404416,13.277312348637244,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66102,Trasacco,41.950595616978049,13.538969234986119,1
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66103,Villalago,41.934888946856553,13.821468588561142,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66104,Villa Santa Lucia degli Abruzzi,42.335903926266759,13.786293442706130,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66105,Villa Sant'Angelo,42.265357838774911,13.535526277899578,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66106,Villavallelonga,41.839148115568072,13.664468103792112,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66107,Villetta Barrea,41.798993842503499,13.934346872518761,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66108,Vittorito,42.135014996471227,13.807289797834651,0
2020-03-19 18:00:00,ITA,13,Abruzzo,67,Teramo,TE,67001,Alba Adriatica,42.822344003961874,13.906834362477245,1
2020-03-19 18:00:00,ITA,13,Abruzzo,67,Teramo,TE,67002,Ancarano,42.840398981629654,13.747532072370582,0
2020-03-19 18:00:00,ITA,13,Abruzzo,67,Teramo,TE,67003,Arsita,42.472719806534279,13.775977189119178,0
2020-03-19 18:00:00,ITA,13,Abruzzo,67,Teramo,TE,67004,Atri,42.584280620662582,13.980141976805005,0
2020-03-19 18:00:00,ITA,13,Abruzzo,67,Teramo,TE,67005,Basciano,42.588293865168929,13.735149839919940,0
2020-03-19 18:00:00,ITA,13,Abruzzo,67,Teramo,TE,67006,Bellante,42.741089324024813,13.810018167166540,1
2020-03-19 18:00:00,ITA,13,Abruzzo,67,Teramo,TE,67007,Bisenti,42.528233366019407,13.804874168442156,0
2020-03-19 18:00:00,ITA,13,Abruzzo,67,Teramo,TE,67008,Campli,42.734637194942756,13.697443921833607,0
2020-03-19 18:00:00,ITA,13,Abruzzo,67,Teramo,TE,67009,Canzano,42.649556018382285,13.803908419880218,0
2020-03-19 18:00:00,ITA,13,Abruzzo,67,Teramo,TE,67010,Castel Castagna,42.541396091802994,13.731567877672324,0
2020-03-19 18:00:00,ITA,13,Abruzzo,67,Teramo,TE,67011,Castellalto,42.666184726616663,13.836646701647139,0
2020-03-19 18:00:00,ITA,13,Abruzzo,67,Teramo,TE,67012,Castelli,42.485121779072699,13.725350153712437,0
2020-03-19 18:00:00,ITA,13,Abruzzo,67,Teramo,TE,67013,Castiglione Messer Raimondo,42.520181707263511,13.868741881322610,12
2020-03-19 18:00:00,ITA,13,Abruzzo,67,Teramo,TE,67014,Castilenti,42.535931467188547,13.941086244909402,3
2020-03-19 18:00:00,ITA,13,Abruzzo,67,Teramo,TE,67015,Cellino Attanasio,42.586901420306681,13.856277958652342,1
2020-03-19 18:00:00,ITA,13,Abruzzo,67,Teramo,TE,67016,Cermignano,42.589207628369337,13.800314177007754,1
2020-03-19 18:00:00,ITA,13,Abruzzo,67,Teramo,TE,67017,Civitella del Tronto,42.779295891793467,13.659802446631756,0
